OR4F5	ENSG00000186092.7	ENST00000641515.2
MMEL1	ENSG00000142606.16	ENST00000378412.8
TTC34	ENSG00000215912.13	ENST00000401095.9
ACTRT2	ENSG00000169717.7	ENST00000378404.4
PRDM16	ENSG00000142611.17	ENST00000270722.10
ARHGEF16	ENSG00000130762.15	ENST00000378378.9
MEGF6	ENSG00000162591.17	ENST00000356575.9
TPRG1L	ENSG00000158109.15	ENST00000378344.7
WRAP73	ENSG00000116213.16	ENST00000270708.12
TP73	ENSG00000078900.16	ENST00000378295.9
CCDC27	ENSG00000162592.10	ENST00000294600.7
SMIM1	ENSG00000235169.11	ENST00000642557.4
LRRC47	ENSG00000130764.10	ENST00000378251.3
CEP104	ENSG00000116198.14	ENST00000674558.1
DFFB	ENSG00000169598.17	ENST00000338895.7
C1orf174	ENSG00000198912.12	ENST00000361605.4
AJAP1	ENSG00000196581.11	ENST00000378191.5
NPHP4	ENSG00000131697.18	ENST00000378156.9
KCNAB2	ENSG00000069424.16	ENST00000378097.6
CHD5	ENSG00000116254.18	ENST00000262450.8
ENSG00000285629	ENSG00000285629.1	ENST00000484532.6
RPL22	ENSG00000116251.11	ENST00000234875.9
RNF207	ENSG00000158286.13	ENST00000377939.5
ICMT	ENSG00000116237.16	ENST00000343813.10
HES3	ENSG00000173673.9	ENST00000706530.1
GPR153	ENSG00000158292.7	ENST00000377893.3
ACOT7	ENSG00000097021.21	ENST00000361521.9
HES2	ENSG00000069812.11	ENST00000377837.5
ESPN	ENSG00000187017.18	ENST00000645284.1
TNFRSF25	ENSG00000215788.11	ENST00000356876.8
PLEKHG5	ENSG00000171680.23	ENST00000377740.5
NOL9	ENSG00000162408.11	ENST00000377705.6
TAS1R1	ENSG00000173662.21	ENST00000333172.11
ZBTB48	ENSG00000204859.13	ENST00000377674.9
KLHL21	ENSG00000162413.17	ENST00000467612.5
PHF13	ENSG00000116273.6	ENST00000377648.5
THAP3	ENSG00000041988.16	ENST00000377627.7
DNAJC11	ENSG00000007923.17	ENST00000377577.10
CAMTA1	ENSG00000171735.21	ENST00000303635.12
VAMP3	ENSG00000049245.13	ENST00000054666.11
PER3	ENSG00000049246.15	ENST00000377532.8
UTS2	ENSG00000049247.14	ENST00000377516.6
TNFRSF9	ENSG00000049249.10	ENST00000377507.8
PARK7	ENSG00000116288.13	ENST00000493678.5
ERRFI1	ENSG00000116285.13	ENST00000474874.5
SLC45A1	ENSG00000162426.16	ENST00000471889.7
RERE	ENSG00000142599.20	ENST00000400908.7
ENO1	ENSG00000074800.16	ENST00000647408.1
CA6	ENSG00000131686.15	ENST00000377443.7
SLC2A7	ENSG00000197241.4	ENST00000400906.2
SLC2A5	ENSG00000142583.18	ENST00000377424.9
GPR157	ENSG00000180758.12	ENST00000377411.5
H6PD	ENSG00000049239.13	ENST00000377403.7
SPSB1	ENSG00000171621.14	ENST00000328089.11
SLC25A33	ENSG00000171612.7	ENST00000302692.7
TMEM201	ENSG00000188807.13	ENST00000340381.11
PIK3CD	ENSG00000171608.18	ENST00000377346.9
CLSTN1	ENSG00000171603.18	ENST00000377298.9
CTNNBIP1	ENSG00000178585.15	ENST00000377263.6
LZIC	ENSG00000162441.12	ENST00000377223.6
NMNAT1	ENSG00000173614.14	ENST00000377205.6
RBP7	ENSG00000162444.12	ENST00000294435.8
UBE4B	ENSG00000130939.20	ENST00000672724.1
KIF1B	ENSG00000054523.20	ENST00000676179.1
PGD	ENSG00000142657.21	ENST00000270776.13
CENPS-CORT	ENSG00000251503.8	ENST00000400900.6
CENPS	ENSG00000175279.22	ENST00000309048.8
CORT	ENSG00000241563.4	ENST00000377049.4
DFFA	ENSG00000160049.12	ENST00000377038.8
PEX14	ENSG00000142655.13	ENST00000356607.9
CASZ1	ENSG00000130940.15	ENST00000377022.8
C1orf127	ENSG00000175262.15	ENST00000377004.9
TARDBP	ENSG00000120948.19	ENST00000240185.8
MASP2	ENSG00000009724.18	ENST00000700088.1
SRM	ENSG00000116649.10	ENST00000376957.7
EXOSC10	ENSG00000171824.14	ENST00000304457.11
MTOR	ENSG00000198793.14	ENST00000361445.9
ANGPTL7	ENSG00000171819.5	ENST00000376819.4
UBIAD1	ENSG00000120942.14	ENST00000376804.2
DISP3	ENSG00000204624.8	ENST00000294484.7
FBXO2	ENSG00000116661.11	ENST00000354287.5
FBXO44	ENSG00000132879.14	ENST00000376770.5
FBXO6	ENSG00000116663.11	ENST00000376753.9
MAD2L2	ENSG00000116670.17	ENST00000235310.7
DRAXIN	ENSG00000162490.7	ENST00000294485.6
AGTRAP	ENSG00000177674.16	ENST00000314340.10
C1orf167	ENSG00000215910.8	ENST00000433342.6
MTHFR	ENSG00000177000.13	ENST00000376590.9
CLCN6	ENSG00000011021.23	ENST00000312413.10
NPPA	ENSG00000175206.11	ENST00000376476.1
NPPB	ENSG00000120937.9	ENST00000376468.4
KIAA2013	ENSG00000116685.17	ENST00000376572.8
PLOD1	ENSG00000083444.17	ENST00000196061.5
MFN2	ENSG00000116688.18	ENST00000675298.1
MIIP	ENSG00000116691.11	ENST00000235332.6
TNFRSF8	ENSG00000120949.15	ENST00000263932.7
TNFRSF1B	ENSG00000028137.19	ENST00000376259.7
VPS13D	ENSG00000048707.15	ENST00000620676.6
DHRS3	ENSG00000162496.10	ENST00000714546.1
AADACL4	ENSG00000204518.3	ENST00000376221.2
AADACL3	ENSG00000188984.12	ENST00000359318.8
CFAP107	ENSG00000157330.10	ENST00000614859.5
PRAMEF12	ENSG00000116726.5	ENST00000357726.5
PRAMEF1	ENSG00000116721.9	ENST00000332296.7
PRAMEF11	ENSG00000239810.3	ENST00000619922.1
HNRNPCL1	ENSG00000179172.10	ENST00000317869.7
PRAMEF2	ENSG00000120952.4	ENST00000240189.2
PRAMEF4	ENSG00000243073.4	ENST00000235349.6
PRAMEF10	ENSG00000187545.5	ENST00000235347.4
PRAMEF7	ENSG00000204510.6	ENST00000697200.1
PRAMEF6	ENSG00000232423.6	ENST00000376189.5
PRAMEF27	ENSG00000274764.6	ENST00000436041.6
HNRNPCL3	ENSG00000277058.3	ENST00000617807.3
PRAMEF25	ENSG00000229571.7	ENST00000614839.4
HNRNPCL2	ENSG00000275774.3	ENST00000621994.3
PRAMEF26	ENSG00000280267.7	ENST00000697343.1
HNRNPCL4	ENSG00000179412.11	ENST00000323770.8
PRAMEF9	ENSG00000204505.5	ENST00000415919.3
PRAMEF13	ENSG00000279169.3	ENST00000625019.3
PRAMEF18	ENSG00000279804.3	ENST00000624297.3
PRAMEF5	ENSG00000270601.5	ENST00000622421.3
PRAMEF8	ENSG00000182330.11	ENST00000357367.7
PRAMEF33	ENSG00000237700.2	ENST00000437300.2
PRAMEF15	ENSG00000204501.7	ENST00000376152.2
PRAMEF14	ENSG00000204481.8	ENST00000334600.7
PRAMEF19	ENSG00000204480.9	ENST00000376101.4
PRAMEF17	ENSG00000204479.4	ENST00000376098.4
PRAMEF20	ENSG00000204478.11	ENST00000602960.2
LRRC38	ENSG00000162494.6	ENST00000376085.4
PDPN	ENSG00000162493.17	ENST00000294489.10
PRDM2	ENSG00000116731.23	ENST00000311066.10
KAZN	ENSG00000189337.17	ENST00000636203.1
TMEM51	ENSG00000171729.14	ENST00000428417.5
FHAD1	ENSG00000142621.21	ENST00000683790.1
EFHD2	ENSG00000142634.13	ENST00000375980.9
CTRC	ENSG00000162438.12	ENST00000375943.6
CELA2A	ENSG00000142615.8	ENST00000359621.5
CELA2B	ENSG00000215704.10	ENST00000375910.8
CASP9	ENSG00000132906.18	ENST00000546424.5
DNAJC16	ENSG00000116138.13	ENST00000375849.5
AGMAT	ENSG00000116771.6	ENST00000375826.4
DDI2	ENSG00000197312.13	ENST00000480945.6
RSC1A1	ENSG00000215695.2	ENST00000345034.2
PLEKHM2	ENSG00000116786.14	ENST00000375799.8
SLC25A34	ENSG00000162461.8	ENST00000294454.6
TMEM82	ENSG00000162460.7	ENST00000375782.2
FBLIM1	ENSG00000162458.13	ENST00000375771.5
UQCRHL	ENSG00000233954.7	ENST00000483273.2
SPEN	ENSG00000065526.13	ENST00000375759.8
ZBTB17	ENSG00000116809.12	ENST00000375733.6
SRARP	ENSG00000183888.4	ENST00000329454.2
HSPB7	ENSG00000173641.18	ENST00000375718.4
CLCNKA	ENSG00000186510.12	ENST00000375692.5
CLCNKB	ENSG00000184908.20	ENST00000684324.1
FAM131C	ENSG00000185519.9	ENST00000375662.5
EPHA2	ENSG00000142627.13	ENST00000358432.8
ARHGEF19	ENSG00000142632.17	ENST00000270747.8
CPLANE2	ENSG00000132881.12	ENST00000375599.8
FBXO42	ENSG00000037637.11	ENST00000375592.8
SZRD1	ENSG00000055070.17	ENST00000401089.3
SPATA21	ENSG00000187144.11	ENST00000335496.5
NECAP2	ENSG00000157191.20	ENST00000337132.10
NBPF1	ENSG00000219481.11	ENST00000430580.6
CROCC	ENSG00000058453.17	ENST00000375541.10
MFAP2	ENSG00000117122.14	ENST00000375535.4
ATP13A2	ENSG00000159363.19	ENST00000326735.13
ENSG00000288636	ENSG00000288636.1	ENST00000617114.5
SDHB	ENSG00000117118.12	ENST00000714034.1
PADI2	ENSG00000117115.13	ENST00000375486.9
PADI1	ENSG00000142623.11	ENST00000375471.5
PADI3	ENSG00000142619.4	ENST00000375460.3
PADI4	ENSG00000159339.13	ENST00000375448.4
PADI6	ENSG00000276747.1	ENST00000619609.1
RCC2	ENSG00000179051.14	ENST00000375436.9
ARHGEF10L	ENSG00000074964.17	ENST00000361221.8
ACTL8	ENSG00000117148.8	ENST00000375406.2
IGSF21	ENSG00000117154.12	ENST00000251296.4
KLHDC7A	ENSG00000179023.9	ENST00000400664.3
PAX7	ENSG00000009709.13	ENST00000713640.1
TAS1R2	ENSG00000179002.6	ENST00000375371.4
ALDH4A1	ENSG00000159423.17	ENST00000375341.8
IFFO2	ENSG00000169991.11	ENST00000455833.7
UBR4	ENSG00000127481.15	ENST00000375254.8
EMC1	ENSG00000127463.16	ENST00000477853.6
MRTO4	ENSG00000053372.5	ENST00000330263.5
AKR7L	ENSG00000211454.16	ENST00000429712.5
AKR7A3	ENSG00000162482.5	ENST00000361640.5
AKR7A2	ENSG00000053371.14	ENST00000330072.10
SLC66A1	ENSG00000040487.13	ENST00000375153.8
CAPZB	ENSG00000077549.19	ENST00000264202.8
MICOS10	ENSG00000173436.15	ENST00000648702.1
NBL1	ENSG00000158747.15	ENST00000602662.1
MICOS10-NBL1	ENSG00000270136.6	ENST00000602384.5
HTR6	ENSG00000158748.4	ENST00000289753.2
TMCO4	ENSG00000162542.14	ENST00000294543.11
RNF186	ENSG00000178828.7	ENST00000375121.4
OTUD3	ENSG00000169914.6	ENST00000375120.4
PLA2G2E	ENSG00000188784.4	ENST00000375116.3
PLA2G2A	ENSG00000188257.12	ENST00000375111.7
PLA2G5	ENSG00000127472.11	ENST00000375108.4
PLA2G2D	ENSG00000117215.15	ENST00000375105.8
PLA2G2F	ENSG00000158786.5	ENST00000375102.4
PLA2G2C	ENSG00000187980.7	ENST00000679259.1
UBXN10	ENSG00000162543.6	ENST00000375099.4
VWA5B1	ENSG00000158816.16	ENST00000289815.13
CAMK2N1	ENSG00000162545.6	ENST00000375078.4
MUL1	ENSG00000090432.7	ENST00000264198.5
FAM43B	ENSG00000183114.8	ENST00000332947.6
CDA	ENSG00000158825.6	ENST00000375071.4
PINK1	ENSG00000158828.8	ENST00000321556.5
DDOST	ENSG00000244038.11	ENST00000415136.6
KIF17	ENSG00000117245.13	ENST00000247986.2
SH2D5	ENSG00000189410.12	ENST00000444387.7
HP1BP3	ENSG00000127483.19	ENST00000438032.6
EIF4G3	ENSG00000075151.24	ENST00000686579.1
ECE1	ENSG00000117298.16	ENST00000649812.1
NBPF3	ENSG00000142794.19	ENST00000318249.10
ALPL	ENSG00000162551.14	ENST00000374840.8
ENSG00000289715	ENSG00000289715.1	ENST00000696766.1
RAP1GAP	ENSG00000076864.21	ENST00000374765.9
USP48	ENSG00000090686.16	ENST00000400301.5
LDLRAD2	ENSG00000187942.12	ENST00000344642.7
HSPG2	ENSG00000142798.20	ENST00000374695.8
CELA3B	ENSG00000219073.8	ENST00000337107.11
CELA3A	ENSG00000142789.20	ENST00000290122.8
ENSG00000289694	ENSG00000289694.1	ENST00000695856.1
CDC42	ENSG00000070831.18	ENST00000656825.1
WNT4	ENSG00000162552.15	ENST00000290167.11
ZBTB40	ENSG00000184677.18	ENST00000404138.5
EPHA8	ENSG00000070886.12	ENST00000166244.8
C1QA	ENSG00000173372.18	ENST00000695738.1
ENSG00000289692	ENSG00000289692.1	ENST00000695747.1
C1QC	ENSG00000159189.13	ENST00000695749.1
C1QB	ENSG00000173369.18	ENST00000509305.6
EPHB2	ENSG00000133216.17	ENST00000374630.8
LACTBL1	ENSG00000215906.9	ENST00000426928.7
TEX46	ENSG00000227868.7	ENST00000440767.3
KDM1A	ENSG00000004487.18	ENST00000356634.7
LUZP1	ENSG00000169641.16	ENST00000302291.9
ENSG00000293565	ENSG00000293565.1	ENST00000713865.1
HTR1D	ENSG00000179546.5	ENST00000374619.2
HNRNPR	ENSG00000125944.22	ENST00000478691.5
ZNF436	ENSG00000125945.16	ENST00000314011.9
TCEA3	ENSG00000204219.11	ENST00000450454.7
ASAP3	ENSG00000088280.21	ENST00000711427.1
E2F2	ENSG00000007968.7	ENST00000361729.3
ID3	ENSG00000117318.9	ENST00000374561.6
RPL11	ENSG00000142676.14	ENST00000643754.2
ELOA	ENSG00000011007.13	ENST00000613537.5
PITHD1	ENSG00000057757.10	ENST00000246151.9
LYPLA2	ENSG00000011009.12	ENST00000374514.8
GALE	ENSG00000117308.15	ENST00000617979.5
HMGCL	ENSG00000117305.15	ENST00000374490.8
FUCA1	ENSG00000179163.12	ENST00000374479.4
CNR2	ENSG00000188822.8	ENST00000374472.5
PNRC2	ENSG00000189266.13	ENST00000647887.1
SRSF10	ENSG00000188529.15	ENST00000492112.3
MYOM3	ENSG00000142661.19	ENST00000374434.4
IL22RA1	ENSG00000142677.4	ENST00000270800.2
IFNLR1	ENSG00000185436.12	ENST00000327535.6
GRHL3	ENSG00000158055.17	ENST00000690803.1
STPG1	ENSG00000001460.18	ENST00000374409.5
NIPAL3	ENSG00000001461.18	ENST00000003912.8
RCAN3	ENSG00000117602.13	ENST00000374395.9
NCMAP	ENSG00000184454.7	ENST00000374392.3
SRRM1	ENSG00000133226.19	ENST00000705663.1
CLIC4	ENSG00000169504.15	ENST00000374379.9
RUNX3	ENSG00000020633.19	ENST00000338888.4
SYF2	ENSG00000117614.10	ENST00000236273.9
RSRP1	ENSG00000117616.18	ENST00000243189.12
RHD	ENSG00000187010.21	ENST00000622561.4
TMEM50A	ENSG00000183726.11	ENST00000374358.5
RHCE	ENSG00000188672.19	ENST00000349320.7
MACO1	ENSG00000204178.11	ENST00000399766.7
LDLRAP1	ENSG00000157978.13	ENST00000718287.1
MAN1C1	ENSG00000117643.16	ENST00000374332.9
SELENON	ENSG00000162430.18	ENST00000361547.7
ENSG00000255054	ENSG00000255054.3	ENST00000527604.1
MTFR1L	ENSG00000117640.18	ENST00000474295.5
AUNIP	ENSG00000127423.11	ENST00000538789.5
PAQR7	ENSG00000182749.6	ENST00000675840.1
STMN1	ENSG00000117632.23	ENST00000426559.7
PAFAH2	ENSG00000158006.14	ENST00000374282.8
EXTL1	ENSG00000158008.10	ENST00000374280.4
SLC30A2	ENSG00000158014.15	ENST00000374276.4
TRIM63	ENSG00000158022.7	ENST00000374272.4
PDIK1L	ENSG00000175087.10	ENST00000619836.4
FAM110D	ENSG00000197245.6	ENST00000374268.5
C1orf232	ENSG00000282872.2	ENST00000634842.2
ZNF593OS	ENSG00000236782.8	ENST00000433939.7
ZNF593	ENSG00000142684.9	ENST00000374266.7
CNKSR1	ENSG00000142675.18	ENST00000361530.11
CATSPER4	ENSG00000188782.9	ENST00000456354.7
CEP85	ENSG00000130695.16	ENST00000451429.8
SH3BGRL3	ENSG00000142669.15	ENST00000270792.10
UBXN11	ENSG00000158062.21	ENST00000374217.7
CD52	ENSG00000169442.9	ENST00000374213.3
CRYBG2	ENSG00000176092.17	ENST00000475866.3
ZNF683	ENSG00000176083.18	ENST00000436292.5
LIN28A	ENSG00000131914.11	ENST00000326279.11
DHDDS	ENSG00000117682.18	ENST00000236342.12
HMGN2	ENSG00000198830.13	ENST00000718304.1
RPS6KA1	ENSG00000117676.14	ENST00000374168.7
ARID1A	ENSG00000117713.21	ENST00000430799.7
PIGV	ENSG00000060642.12	ENST00000674335.1
ZDHHC18	ENSG00000204160.12	ENST00000374142.9
SFN	ENSG00000175793.12	ENST00000339276.6
GPN2	ENSG00000142751.15	ENST00000374135.9
GPATCH3	ENSG00000198746.13	ENST00000361720.10
NR0B2	ENSG00000131910.5	ENST00000254227.4
NUDC	ENSG00000090273.14	ENST00000321265.10
KDF1	ENSG00000175707.10	ENST00000320567.6
TRNP1	ENSG00000253368.5	ENST00000531285.2
TENT5B	ENSG00000158246.8	ENST00000289166.6
SLC9A1	ENSG00000090020.11	ENST00000263980.8
WDTC1	ENSG00000142784.16	ENST00000319394.8
TMEM222	ENSG00000186501.15	ENST00000611517.4
SYTL1	ENSG00000142765.18	ENST00000318074.9
MAP3K6	ENSG00000142733.18	ENST00000357582.3
FCN3	ENSG00000142748.14	ENST00000270879.9
CD164L2	ENSG00000174950.11	ENST00000374030.3
GPR3	ENSG00000181773.7	ENST00000374024.4
WASF2	ENSG00000158195.11	ENST00000618852.5
AHDC1	ENSG00000126705.15	ENST00000673934.1
FGR	ENSG00000000938.13	ENST00000374005.8
IFI6	ENSG00000126709.16	ENST00000679644.1
FAM76A	ENSG00000009780.16	ENST00000373954.11
STX12	ENSG00000117758.14	ENST00000373943.9
PPP1R8	ENSG00000117751.18	ENST00000311772.10
THEMIS2	ENSG00000130775.16	ENST00000328928.11
RPA2	ENSG00000117748.10	ENST00000373912.8
SMPDL3B	ENSG00000130768.15	ENST00000373894.8
XKR8	ENSG00000158156.9	ENST00000675759.1
EYA3	ENSG00000158161.16	ENST00000540618.5
PTAFR	ENSG00000169403.12	ENST00000539896.1
DNAJC8	ENSG00000126698.11	ENST00000263697.6
ATP5IF1	ENSG00000130770.18	ENST00000468425.2
SESN2	ENSG00000130766.5	ENST00000253063.4
MED18	ENSG00000130772.14	ENST00000373842.9
PHACTR4	ENSG00000204138.13	ENST00000373839.8
RCC1	ENSG00000180198.17	ENST00000398958.6
TRNAU1AP	ENSG00000180098.9	ENST00000373830.4
TAF12	ENSG00000120656.14	ENST00000685589.1
RAB42	ENSG00000188060.8	ENST00000373826.3
GMEB1	ENSG00000162419.13	ENST00000373816.6
YTHDF2	ENSG00000198492.16	ENST00000542507.5
OPRD1	ENSG00000116329.12	ENST00000234961.7
EPB41	ENSG00000159023.23	ENST00000647103.1
TMEM200B	ENSG00000253304.2	ENST00000521452.2
SRSF4	ENSG00000116350.18	ENST00000373795.7
MECR	ENSG00000116353.16	ENST00000263702.11
PTPRU	ENSG00000060656.20	ENST00000373779.8
ENSG00000289710	ENSG00000289710.1	ENST00000696552.1
MATN1	ENSG00000162510.6	ENST00000373765.5
LAPTM5	ENSG00000162511.8	ENST00000294507.4
SDC3	ENSG00000162512.16	ENST00000339394.7
PUM1	ENSG00000134644.16	ENST00000426105.7
NKAIN1	ENSG00000084628.10	ENST00000373736.7
SNRNP40	ENSG00000060688.13	ENST00000263694.9
ZCCHC17	ENSG00000121766.16	ENST00000546109.5
FABP3	ENSG00000121769.8	ENST00000373713.7
SERINC2	ENSG00000168528.12	ENST00000373710.5
TINAGL1	ENSG00000142910.16	ENST00000457433.6
HCRTR1	ENSG00000121764.12	ENST00000373705.1
PEF1	ENSG00000162517.13	ENST00000373703.5
COL16A1	ENSG00000084636.18	ENST00000373672.8
ADGRB2	ENSG00000121753.13	ENST00000398542.5
SPOCD1	ENSG00000134668.13	ENST00000257100.7
PTP4A2	ENSG00000184007.22	ENST00000647444.2
ENSG00000288678	ENSG00000288678.2	ENST00000710329.1
KHDRBS1	ENSG00000121774.18	ENST00000327300.12
TMEM39B	ENSG00000121775.18	ENST00000336294.10
KPNA6	ENSG00000025800.14	ENST00000373625.8
TXLNA	ENSG00000084652.16	ENST00000373610.8
CCDC28B	ENSG00000160050.16	ENST00000373602.10
IQCC	ENSG00000160051.12	ENST00000291358.11
DCDC2B	ENSG00000222046.3	ENST00000409358.2
TMEM234	ENSG00000160055.20	ENST00000309777.11
EIF3I	ENSG00000084623.12	ENST00000677198.1
FAM167B	ENSG00000183615.6	ENST00000373582.4
LCK	ENSG00000182866.18	ENST00000495610.7
HDAC1	ENSG00000116478.13	ENST00000718279.1
MARCKSL1	ENSG00000175130.7	ENST00000329421.8
FAM229A	ENSG00000225828.2	ENST00000432622.2
TSSK3	ENSG00000162526.7	ENST00000373534.4
BSDC1	ENSG00000160058.19	ENST00000455895.7
ENSG00000254553	ENSG00000254553.1	ENST00000480336.1
ZBTB8B	ENSG00000273274.2	ENST00000609129.2
ZBTB8A	ENSG00000160062.15	ENST00000373510.9
ZBTB8OS	ENSG00000176261.16	ENST00000341885.6
RBBP4	ENSG00000162521.19	ENST00000373493.10
SYNC	ENSG00000162520.15	ENST00000409190.8
NHSL3	ENSG00000162522.11	ENST00000401073.7
YARS1	ENSG00000134684.13	ENST00000675785.2
S100PBP	ENSG00000116497.18	ENST00000373475.10
FNDC5	ENSG00000160097.21	ENST00000710568.1
HPCA	ENSG00000121905.10	ENST00000373467.4
TMEM54	ENSG00000121900.19	ENST00000329151.5
RNF19B	ENSG00000116514.17	ENST00000235150.5
AK2	ENSG00000004455.18	ENST00000373449.7
AZIN2	ENSG00000142920.18	ENST00000294517.11
TRIM62	ENSG00000116525.14	ENST00000291416.10
ZNF362	ENSG00000160094.15	ENST00000539719.6
A3GALT2	ENSG00000184389.9	ENST00000442999.3
PHC2	ENSG00000134686.21	ENST00000683057.1
ZSCAN20	ENSG00000121903.15	ENST00000684572.1
CSMD2	ENSG00000121904.19	ENST00000619121.4
HMGB4	ENSG00000176256.11	ENST00000519684.5
C1orf94	ENSG00000142698.15	ENST00000373374.7
GJB5	ENSG00000189280.3	ENST00000338513.1
GJB4	ENSG00000189433.7	ENST00000339480.3
GJB3	ENSG00000188910.8	ENST00000373366.3
GJA4	ENSG00000187513.9	ENST00000342280.5
SMIM12	ENSG00000163866.9	ENST00000521580.3
DLGAP3	ENSG00000116544.12	ENST00000373347.6
ENSG00000284773	ENSG00000284773.1	ENST00000417456.1
TMEM35B	ENSG00000243749.2	ENST00000373337.4
ENSG00000271741	ENSG00000271741.1	ENST00000487874.1
ZMYM6	ENSG00000163867.17	ENST00000357182.9
ZMYM1	ENSG00000197056.12	ENST00000650449.2
SFPQ	ENSG00000116560.12	ENST00000696553.1
ZMYM4	ENSG00000146463.12	ENST00000314607.11
KIAA0319L	ENSG00000142687.19	ENST00000697001.1
NCDN	ENSG00000020129.16	ENST00000373253.7
TFAP2E	ENSG00000116819.9	ENST00000373235.4
PSMB2	ENSG00000126067.12	ENST00000373237.4
C1orf216	ENSG00000142686.8	ENST00000270815.5
CLSPN	ENSG00000092853.14	ENST00000251195.9
AGO4	ENSG00000134698.11	ENST00000373210.4
AGO1	ENSG00000092847.14	ENST00000373206.5
AGO3	ENSG00000126070.20	ENST00000373191.9
TEKT2	ENSG00000092850.12	ENST00000207457.8
ADPRS	ENSG00000116863.11	ENST00000373178.5
COL8A2	ENSG00000171812.13	ENST00000397799.2
TRAPPC3	ENSG00000054116.12	ENST00000617904.4
MAP7D1	ENSG00000116871.16	ENST00000316156.8
THRAP3	ENSG00000054118.15	ENST00000648638.1
SH3D21	ENSG00000214193.11	ENST00000505871.7
EVA1B	ENSG00000142694.7	ENST00000270824.1
STK40	ENSG00000196182.11	ENST00000373132.4
LSM10	ENSG00000181817.6	ENST00000315732.3
OSCP1	ENSG00000116885.18	ENST00000235532.9
MRPS15	ENSG00000116898.12	ENST00000373116.6
CSF3R	ENSG00000119535.20	ENST00000373103.5
GRIK3	ENSG00000163873.10	ENST00000373091.8
ZC3H12A	ENSG00000163874.11	ENST00000373087.7
MEAF6	ENSG00000163875.16	ENST00000296214.10
SNIP1	ENSG00000163877.11	ENST00000296215.8
DNALI1	ENSG00000163879.11	ENST00000296218.8
GNL2	ENSG00000134697.13	ENST00000373062.8
RSPO1	ENSG00000169218.14	ENST00000356545.7
AIRIM	ENSG00000116922.15	ENST00000486637.2
